journal,title,year,doi,novel_taxon,geography,age1,age2
Nature,Highly specialized mammalian skulls from the Late Cretaceous of South America,2011,10.1038/nature10591,Cronopio dentiacutus,Argentina,Mesozoic,Cretaceous
Nature,New evidence for mammaliaform ear evolution and feeding adaptation in a Jurassic ecosystem,2017,10.1038/nature23483,Vilevolodon diplomylos,China,Mesozoic,Jurassic
Nature,A new arboreal haramiyid shows the diversity of crown mammals in the Jurassic period,2013,10.1038/nature12353,Arboroharamiya jenkinsi,China,Mesozoic,Jurassic
Nature, Acute vision in the giant Cambrian predator Anomalocaris and the origin of compound eyes ,2011,10.1038/nature10689,,,,
Nature,Late-surviving stem mammal links the lowermost Cretaceous of North America and Gondwana,2018,10.1038/s41586-018-0126-y,Cifelliodon wahkarmoosuch,United States,Mesozoic,Cretaceous
Science,Scimitar-crested Spinosaurus species from the Sahara caps stepwise spinosaurid radiation,2026,10.1126/science.adx5486,Spinosaurus mirabilis,Niger,Mesozoic,Cretaceous
Science,A Cambrian spiny stem mollusk and the deep homology of lophotrochozoan scleritomes,2024,10.1126/science.ado0059,Shishania aculeata,China,Paleozoic,Cambrian
Science,Early giant reveals faster evolution of large body size in ichthyosaurs than in cetaceans,2021,10.1126/science.abf5787,Cymbospondylus youngorum ,United States,Mesozoic,Triassic
Science,Island geography drives evolution of rattan palms in tropical Asian rainforests,2025,10.1126/science.adp3437,Dicolpopollis cenomanicus,Papua New Guinea,Mesozoic,Cretaceous
Science,Island geography drives evolution of rattan palms in tropical Asian rainforests,2025,10.1126/science.adp3437,Dicolpopollis novaguineensis,Papua New Guinea,Mesozoic,Cretaceous
Science,Marine origins and freshwater radiations of the otophysan fishes,2025,10.1126/science.adr4494,Acronichthys maccagnoi,Canada,Mesozoic,Cretaceous
Science,Earliest Evolution of Multituberculate Mammals Revealed by a New Jurassic Fossil,2011,10.1126/science.1237970,Rugosodon eurasiaticus,China,Mesozoic,Jurassic
Science,Miocene small-bodied ape from Eurasia sheds light on hominoid evolution,2015,10.1126/science.aab2625,Pliobates cataloniae,Spain,Cenozoic,Miocene
Science,Sexual selection promotes giraffoid head-neck evolution and ecological adaptation,2016,10.1126/science.abl8316,Discokeryx xiezhi,China,Cenozoic,Miocene
