,journal,title,year,doi,novel_taxon,geography,age1,age2,genus_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,genus_y,Plantae,Animalia,Bilateria,Deuterostomia,Protostomia,Brachiopoda,Echinodermata,Gastropoda,Mollusca,Arthropoda,Insecta,Ostracoda,Trilobita,Chordata,Vertebrata,Actinopterygii,Chondrichthyes,Tetrapodomorpha,Tetrapoda,Amniota,Diapsida,Synapsida,Therapsida,Sauropsida,Squamata,Archosauromorpha,Testudinata,Pseudosuchia,Pterosauria,Dinosauromorpha,Dinosauria,Ornithischia,Saurischia,Theropoda,Mammaliaformes,Marsupialiformes,Placentalia,Primates,Carnivora,Rodentia,Artiodactyla,Perissodactyla,Theria,Avialae,Aves,classification,publication_year_bin
10,Nature,The oldest complete jawed vertebrates from the early Silurian of China,2022,10.1038/s41586-022-05136-8,Xiushanosteus mirabilis,China,Paleozoic,Silurian,Xiushanosteus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Xiushanosteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiushanosteus,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fish (misc. fish),2020-2026
11,Nature,The oldest complete jawed vertebrates from the early Silurian of China,2022,10.1038/s41586-022-05136-8,Shenacanthus vermiformis ,China,Paleozoic,Silurian,Shenacanthus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Chondrichthyes,Shenacanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shenacanthus,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fish (chondrichthyans),2020-2026
12,Nature,Cretaceous fossil reveals a new pattern in mammalian middle ear evolution,2019,10.1038/s41586-019-1792-0,Jeholbaatar kielanae,China,Mesozoic,Cretaceous,Jeholbaatar,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Synapsida,Therapsida,Cynodontia,Mammaliamorpha,Mammaliaformes,Mammalia,Allotheria,Multituberculata,Eobaataridae,Jeholbaatar,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeholbaatar,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Non-therian mammaliaforms,2015-2019
13,Nature,A Cambrian crown annelid reconciles phylogenomics and the fossil record,2020,10.1038/s41586-020-2384-8,Dannychaeta tucolus,China,Paleozoic,Cambrian,Dannychaeta,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Spiralia,Lophotrochozoa,Annelida,Pleistoannelida,Sedentaria,Canalipalpata,Spionida,Magelonidae,Dannychaeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dannychaeta,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Protostomes (other),2020-2026
14,Nature,New Silurian aculiferan fossils reveal complex early history of Mollusca,2025,10.1038/s41586-024-08312-0,Punk ferox,United Kingdom,Paleozoic,Silurian,Punk,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Spiralia,Lophotrochozoa,Mollusca,Aculifera,Aplacophora,Punk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punk,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (molluscs),2020-2026
15,Nature,New Silurian aculiferan fossils reveal complex early history of Mollusca,2025,10.1038/s41586-024-08312-0,Emo vorticaudum,United Kingdom,Paleozoic,Silurian,Emo,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Spiralia,Lophotrochozoa,Mollusca,Serialia,Polyplacophora,Emo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emo,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (molluscs),2020-2026
16,Nature, A domed pachycephalosaur from the early Cretaceous of Mongolia ,2025,10.1038/s41586-025-09213-6,Zavacephale rinpoche,Mongolia,Mesozoic,Cretaceous,Zavacephale,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Sauropsida,Reptilia,Eureptilia,Romeriida,Diapsida,Archosauromorpha,Crocopoda,Archosauriformes,Eucrocopoda,Archosauria,Avemetatarsalia,Ornithodira,Dinosauromorpha,Dinosauriformes,Dinosauria,Ornithischia,Genasauria,Cerapoda,Marginocephalia,Pachycephalosauria,Zavacephale,,,,,,,,,,,,,,,,Zavacephale,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"Dinosaurs, ornithischians",2020-2026
17,Nature,Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes,2013,10.1038/nature12161,Nsungwepithecus gunnelli,Tanzania,Cenozoic,Oligocene,Nsungwepithecus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Synapsida,Therapsida,Cynodontia,Mammaliamorpha,Mammaliaformes,Mammalia,Cladotheria,Zatheria,Tribosphenida,Theria,Eutheria,Placentalia,Boreoeutheria,Euarchontoglires,Euarchonta,Primates,Haplorhini,Anthropoidea,Catarrhini,Cercopithecoidea,Nsungwepithecus,,,,,,,,,,,,,,,,Nsungwepithecus,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,"Mammals, placental (primates)",2010-2014
18,Nature,Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes,2013,10.1038/nature12161,Rukwapithecus fleaglei,Tanzania,Cenozoic,Oligocene,Rukwapithecus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Synapsida,Therapsida,Cynodontia,Mammaliamorpha,Mammaliaformes,Mammalia,Cladotheria,Zatheria,Tribosphenida,Theria,Eutheria,Placentalia,Boreoeutheria,Euarchontoglires,Euarchonta,Primates,Haplorhini,Anthropoidea,Catarrhini,Hominoidea,Rukwapithecus,,,,,,,,,,,,,,,,Rukwapithecus,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,"Mammals, placental (primates)",2010-2014
19,Nature,Death march of a segmented and trilobate bilaterian elucidates early animal evolution,2019,10.1038/s41586-019-1522-7,Yilingia spiciformis,China,Proterozoic,Ediacaran,Yilingia,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Yilingia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yilingia,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2015-2019
